title,full_text,link,image
다음 주 V타임드롭 알림 신청,다음 주 V타임드롭 알림 신청,,
PXG,"PXG
PXG
브랜드데이
단 하루, ~50% 할인 + 쿠폰 + 사은품
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/756/00/260700000754756_20260729161205.jpg?RS=1920&SP=1
"PXG
브랜드데이","PXG
브랜드데이",,
"단 하루, ~50% 할인 + 쿠폰 + 사은품","단 하루, ~50% 할인 + 쿠폰 + 사은품",,
자세히 보기,자세히 보기,javascript:void(0);,
CASA MUUTTI,"CASA MUUTTI
까사무띠
브랜드데이
단 하루, ~69% 할인 + ~12% 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/797/00/260700000754797_20260729184735.jpg?cVer=29064823&RS=1920&SP=1
"까사무띠
브랜드데이","까사무띠
브랜드데이",,
"단 하루, ~69% 할인 + ~12% 쿠폰","단 하루, ~69% 할인 + ~12% 쿠폰",,
"파이널
서머 클리어런스
최대 70% 할인 + 쇼핑백 쿠폰
자세히 보기","파이널
서머 클리어런스
최대 70% 할인 + 쇼핑백 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/8910/852/10/260700000754852_20260730090552.jpg?RS=1920&SP=1
"파이널
서머 클리어런스
최대 70% 할인 + 쇼핑백 쿠폰","파이널
서머 클리어런스
최대 70% 할인 + 쇼핑백 쿠폰",javascript:void(0);,
"파이널
서머 클리어런스","파이널
서머 클리어런스",,
최대 70% 할인 + 쇼핑백 쿠폰,최대 70% 할인 + 쇼핑백 쿠폰,,
STUDIO TOMBOY,"STUDIO TOMBOY
계속되는 더위 속
라스트 서머 쇼핑
스튜디오 톰보이 시즌 베스트
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/973/00/260700000753973_20260728134128.jpg?RS=1920&SP=1
"계속되는 더위 속
라스트 서머 쇼핑","계속되는 더위 속
라스트 서머 쇼핑",,
스튜디오 톰보이 시즌 베스트,스튜디오 톰보이 시즌 베스트,,
PAUL SMITH & more,"PAUL SMITH & more
티셔츠 한 장으로
빛나는 여름
서머 베스트 티셔츠 라스트 찬스
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/708/00/260700000754708_20260729152946.jpg?RS=1920&SP=1
"티셔츠 한 장으로
빛나는 여름","티셔츠 한 장으로
빛나는 여름",,
서머 베스트 티셔츠 라스트 찬스,서머 베스트 티셔츠 라스트 찬스,,
EENK & more,"EENK & more
남은 더위 식혀줄
아울렛 특가
여성 패션, ~65% 할인 + 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/609/00/260700000747609_20260723102550.jpg?RS=1920&SP=1
"남은 더위 식혀줄
아울렛 특가","남은 더위 식혀줄
아울렛 특가",,
"여성 패션, ~65% 할인 + 쿠폰","여성 패션, ~65% 할인 + 쿠폰",,
THE JOSUN HOTEL & more,"THE JOSUN HOTEL & more
집으로 떠나는
5성급 호캉스
~42% + 12% 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/427/00/260700000755427_20260731124022.jpg?RS=1920&SP=1
