title,full_text,link,image
30아디다스New,30아디다스New,,
1여성반팔블라우스,1여성반팔블라우스,,
2베네통원피스New,2베네통원피스New,,
3조말론향수New,3조말론향수New,,
4써스데이아일랜드원피스 4,4써스데이아일랜드원피스 4,,
5음식물처리기New,5음식물처리기New,,
6운동화,6운동화,,
7베베드피노 4,7베베드피노 4,,
8헤라 3,8헤라 3,,
9리린 65,9리린 65,,
10명품의류New,10명품의류New,,
11쌀10kgNew,11쌀10kgNew,,
12장우산 8,12장우산 8,,
13셀린느가방 11,13셀린느가방 11,,
14kboNew,14kboNew,,
15디올립글로우 6,15디올립글로우 6,,
16나이스클랍 71,16나이스클랍 71,,
17크록스 44,17크록스 44,,
18르샵 82,18르샵 82,,
19랑콤선크림 81,19랑콤선크림 81,,
20키엘 10,20키엘 10,,
21캔마트 79,21캔마트 79,,
22레오나르디화이트발사믹 6,22레오나르디화이트발사믹 6,,
23나이키 4,23나이키 4,,
24롯데자이언츠 7,24롯데자이언츠 7,,
25자라New,25자라New,,
26슈콤마보니샌들New,26슈콤마보니샌들New,,
27여성가방 15,27여성가방 15,,
28캉골키즈New,28캉골키즈New,,
29게스New,29게스New,,
"오설록
싱그러운 제주의 향
최대 25% 쿠폰","오설록
싱그러운 제주의 향
최대 25% 쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/817047/P87FB624275C21D1D7CE584618DC85B1C3FB0093D0F48CA369F747F8E961D97B2/file/dims/format/webp
"르크루제
테이블 위의 여름
머그&서빙볼 외 추가쿠폰","르크루제
테이블 위의 여름
머그&서빙볼 외 추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/817044/PC1C151C00B4159E19CB994CF043A1018DD4A224F63E4273E582AC9A6A04B1EFC/file/dims/format/webp
"박홍근
여름밤의 꿀잠템
오르떼 홑이불 19,900원","박홍근
여름밤의 꿀잠템
오르떼 홑이불 19,900원",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/817045/P5C5A364AADB689540CB7AC066EE2BD72049C4DC339C855665D1A6F2750C21A99/file/dims/format/webp
"완벽한 바캉스 준비
롯데백화점 위크
최대 11% 중복쿠폰+선착순 결제혜택","완벽한 바캉스 준비
롯데백화점 위크
최대 11% 중복쿠폰+선착순 결제혜택",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/816928/P4A349A4EFF220378BD629DCA2988FDF521E741B70B06D6DEA5AD5FC5CE772C0E/file/dims/format/webp
"에고이스트&플라&랩
롯데 단독 썸머 베스트
최대 60% 할인 + 중복쿠폰","에고이스트&플라&랩
롯데 단독 썸머 베스트
최대 60% 할인 + 중복쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/817337/PAD54173A7A1E04DE659F0BDE9BF36B6C62209AC029FCEF6E8E1D49F97A1FB64E/file/dims/format/webp
