title,full_text,link,image
30쌀New,30쌀New,,
1마리끌레르,1마리끌레르,,
2씨씨콜렉트,2씨씨콜렉트,,
3여성경량패딩 5,3여성경량패딩 5,,
414k귀걸이New,414k귀걸이New,,
5써스데이아일랜드원피스 9,5써스데이아일랜드원피스 9,,
6명품가방 2,6명품가방 2,,
7김치 1,7김치 1,,
8가디건 56,8가디건 56,,
9셀린느가방 6,9셀린느가방 6,,
10디올 1,10디올 1,,
11bx5600New,11bx5600New,,
12버버리가방 86,12버버리가방 86,,
13디올립스틱 6,13디올립스틱 6,,
14리스트 9,14리스트 9,,
15캐리어New,15캐리어New,,
16음식물처리기 84,16음식물처리기 84,,
17프랜치캣New,17프랜치캣New,,
18나이키 11,18나이키 11,,
19아디다스운동화 28,19아디다스운동화 28,,
20버버리New,20버버리New,,
21크리니크 10,21크리니크 10,,
22여성플랫슈즈 78,22여성플랫슈즈 78,,
23샤넬 12,23샤넬 12,,
24슈콤마보니 26,24슈콤마보니 26,,
25베베드피노 26,25베베드피노 26,,
26케네스레이디New,26케네스레이디New,,
27뉴발란스운동화 4,27뉴발란스운동화 4,,
28여성스웨이드자켓 10,28여성스웨이드자켓 10,,
29핸드크림 19,29핸드크림 19,,
"휘슬러
추석맞이 브랜드위크
추가 15% 쿠폰","휘슬러
추석맞이 브랜드위크
추가 15% 쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840170/P1B17D6C5254DE6D140B47F2B8C2DC62143D5393479D0277D7B37D9C7B7EE10A9/file/dims/format/webp
"오늘의 브랜드
라코스테
최대 30%할인+ 20%쿠폰","오늘의 브랜드
라코스테
최대 30%할인+ 20%쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/841516/P1919A68341F98801F69DA6EFDD5B897E94639A26ABCC18D940502AEA14E4A6AD/file/dims/format/webp
"오늘의 브랜드
오르시떼
패밀리 실내복 최대 71%할인","오늘의 브랜드
오르시떼
패밀리 실내복 최대 71%할인",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/841517/P2EF8F7CFFA457384D9F44FDE1AA8FC3C5EB24BC20B9419033FC7ABF51238CC1B/file/dims/format/webp
"9월 롯데백화점 위크 가을맞이 단독 혜택
최대 70% 할인 + 추가쿠폰","9월 롯데백화점 위크 가을맞이 단독 혜택
최대 70% 할인 + 추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/841915/P0049F532B524EC31C46635D74EE9C3787D0E932F461B9B699971FA69D428EAA9/file/dims/format/webp
"뷰티세일라인업
연중 최대 혜택
최대 80% 할인+쿠폰팩+특가","뷰티세일라인업
연중 최대 혜택
최대 80% 할인+쿠폰팩+특가",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/842072/P77D695C6B1E22D791B8D4178CF5FE27B4818F25FA344279310CE80486EE939B2/file/dims/format/webp
"디올 오픈런
3일간의 단독혜택
루즈 디올 온 스테이지 신상 단독 혜택","디올 오픈런
3일간의 단독혜택
루즈 디올 온 스테이지 신상 단독 혜택",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840376/PCDE4FBE37A4F7BC1B0E7B9FA6956BFC8818BB2D2CB9EB82E63B45C4E5DB1EEF6/file/dims/format/webp
"대한사람대한으로
프리미엄 한우선물
최대 12%쿠폰+10%카드+적립","대한사람대한으로
프리미엄 한우선물
최대 12%쿠폰+10%카드+적립",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840174/P3BAF5146BDE330B9AFD8481BA5770531F84E3E0193C00633349F99D0FF31B555/file/dims/format/webp
"나이키 오픈런
단 3일, 최대 할인
최대 52%","나이키 오픈런
단 3일, 최대 할인
최대 52%",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840180/P1D9F67218CFFFA1CEEBD9921A98053BC0AF4624B2C7F293CC8175FF915D734A0/file/dims/format/webp
"유튜버 스와차픽
실패없는 추석 선물
시크릿쿠폰+최대 1만P 적립+카드","유튜버 스와차픽
실패없는 추석 선물
시크릿쿠폰+최대 1만P 적립+카드",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840181/P2558D122A5DC12D231A4E287045B591C2A9AF20CCEACA59CB21AA06DE3D21A62/file/dims/format/webp
"패션잡화 기프트대전
마음을 전하세요
닥스양말, 손수건 외 최대 혜택가","패션잡화 기프트대전
마음을 전하세요
닥스양말, 손수건 외 최대 혜택가",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840184/PB2A5EB567160E54D673C3125D98BFEDE43AEA3876265680E0BF07049662EADD4/file/dims/format/webp
"크록스
BEST ITEM
최대 60%+쿠폰+카드","크록스
BEST ITEM
최대 60%+쿠폰+카드",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840183/PA34D22D1BDC0F95E6283B8C1E4788E21CA54C2C31A9F3D309E3244CEA6E3A3AD/file/dims/format/webp
"코데즈컴바인
간절기 컬렉션
최대 60% + 추가쿠폰","코데즈컴바인
간절기 컬렉션
최대 60% + 추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/840287/PC45E1DF0E810E4CF69A64EEAE5908C520AC8BDF213B427D3F148EFEA6BE59671/file/dims/format/webp
"타미힐피거
썸머 시즌오프
최대37% + 추가쿠폰혜택","타미힐피거
썸머 시즌오프
최대37% + 추가쿠폰혜택",,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"LEVI'S
가을 컬렉션 오픈
최대 40% + 추가쿠폰","LEVI'S
가을 컬렉션 오픈
최대 40% + 추가쿠폰",,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"LF 패밀리
온/오프라인 연합
시즌오프 50%할인+F/W 10% 선할인","LF 패밀리
온/오프라인 연합
시즌오프 50%할인+F/W 10% 선할인",,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"메트로시티
브랜드위크
최대 25% 쿠폰","메트로시티
브랜드위크
최대 25% 쿠폰",,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
