title,full_text,link,image
[D-1] 한정시간 최저가 도전! 지금 알림 신청하기,[D-1] 한정시간 최저가 도전! 지금 알림 신청하기,,
PAUL SMITH,"PAUL SMITH
위트 있는 클래식
폴 스미스 데이
단 하루, 서머 컬러링 ~70% 특가 + 20% 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/664/00/260600000732664_20260610141128.jpg?RS=1920&SP=1
"위트 있는 클래식
폴 스미스 데이","위트 있는 클래식
폴 스미스 데이",,
"단 하루, 서머 컬러링 ~70% 특가 + 20% 페이백","단 하루, 서머 컬러링 ~70% 특가 + 20% 페이백",,
BUY NOW,BUY NOW,javascript:void(0);,
VUORI,"VUORI
유려한 여름 움직임
뷰오리 데이
단 하루, 26SS 시즌오프 + 40% 특가 + 30% 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/851/00/260500000727851_20260609105212.jpg?cVer=09105212&RS=1920&SP=1
"유려한 여름 움직임
뷰오리 데이","유려한 여름 움직임
뷰오리 데이",,
"단 하루, 26SS 시즌오프 + 40% 특가 + 30% 페이백","단 하루, 26SS 시즌오프 + 40% 특가 + 30% 페이백",,
ACQUA DI PARMA,"ACQUA DI PARMA
향기로 만난 지중해
아쿠아 디 파르마 데이
단 하루, 최대 10% 할인 + 20% 쿠폰 + 7% 페이백 + 사은품
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/102/00/260600000733102_20260610170048.jpg?RS=1920&SP=1
"향기로 만난 지중해
아쿠아 디 파르마 데이","향기로 만난 지중해
아쿠아 디 파르마 데이",,
"단 하루, 최대 10% 할인 + 20% 쿠폰 + 7% 페이백 + 사은품","단 하루, 최대 10% 할인 + 20% 쿠폰 + 7% 페이백 + 사은품",,
THE JOSUN HOTEL,"THE JOSUN HOTEL
집에서 누리는 품격
조선호텔 데이
단 하루, ~39% + 쿠폰팩 + 15% 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/404/00/260600000733404_20260611093650.jpg?RS=1920&SP=1
"집에서 누리는 품격
조선호텔 데이","집에서 누리는 품격
조선호텔 데이",,
"단 하루, ~39% + 쿠폰팩 + 15% 페이백","단 하루, ~39% + 쿠폰팩 + 15% 페이백",,
Santa Maria Novella & more,"Santa Maria Novella & more
향기롭게 케어
헤어&바디 셀렉션
여름 더위까지 씻어낼 선택, 무제한 15% 페이백 + 쿠폰팩 + GIFT
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/358/00/260600000733358_20260611091646.jpg?RS=1920&SP=1
"향기롭게 케어
헤어&바디 셀렉션","향기롭게 케어
헤어&바디 셀렉션",,
"여름 더위까지 씻어낼 선택, 무제한 15% 페이백 + 쿠폰팩 + GIFT","여름 더위까지 씻어낼 선택, 무제한 15% 페이백 + 쿠폰팩 + GIFT",,
EENK & more,"EENK & more
상반기 베스트
여성 패션 스페셜
상반기 최대 혜택, ~70% 할인 + 쿠폰 + 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/343/00/260600000732343_20260610104834.jpg?RS=1920&SP=1
"상반기 베스트
여성 패션 스페셜","상반기 베스트
여성 패션 스페셜",,
"상반기 최대 혜택, ~70% 할인 + 쿠폰 + 페이백","상반기 최대 혜택, ~70% 할인 + 쿠폰 + 페이백",,
EMPORIO ARMANI & more,"EMPORIO ARMANI & more
서머 클래식의 정수
아르마니 위크
절제된 실루엣 Armani Attitude, 15% 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/717/00/260600000732717_20260610142321.jpg?RS=1920&SP=1
"서머 클래식의 정수
아르마니 위크","서머 클래식의 정수
아르마니 위크",,
"절제된 실루엣 Armani Attitude, 15% 페이백","절제된 실루엣 Armani Attitude, 15% 페이백",,
LESPORTSAC & more,"LESPORTSAC & more
소장만으로도
가치가 되는 아이템
여름 에센셜 액세서리, 최대 70% 할인 + 쿠폰 + 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/892/00/260600000732892_20260610153638.jpg?RS=1920&SP=1
"소장만으로도
가치가 되는 아이템","소장만으로도
가치가 되는 아이템",,
"여름 에센셜 액세서리, 최대 70% 할인 + 쿠폰 + 페이백","여름 에센셜 액세서리, 최대 70% 할인 + 쿠폰 + 페이백",,
DUVETICA,"DUVETICA
푸른 여름을
맞이할 듀베티카
활동성 좋은 서머룩, 최대 특가 찬스 + 쿠폰 + 15% 페이백
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/441/00/260600000733441_20260611095836.jpg?RS=1920&SP=1
"푸른 여름을
맞이할 듀베티카","푸른 여름을
맞이할 듀베티카",,
"활동성 좋은 서머룩, 최대 특가 찬스 + 쿠폰 + 15% 페이백","활동성 좋은 서머룩, 최대 특가 찬스 + 쿠폰 + 15% 페이백",,
