title,full_text,link,image
30아이스비스킷 31,30아이스비스킷 31,,
1레고,1레고,,
2레고스타워즈,2레고스타워즈,,
3타미힐피거,3타미힐피거,,
4더아이잗,4더아이잗,,
5jj지고트원피스 1,5jj지고트원피스 1,,
6시슬리 6,6시슬리 6,,
7리븐델,7리븐델,,
8향수 1,8향수 1,,
9아디다스 91,9아디다스 91,,
10리스트 5,10리스트 5,,
11레고스피드챔피언New,11레고스피드챔피언New,,
12롯데월드 5,12롯데월드 5,,
13나이키New,13나이키New,,
14내셔널지오그래픽키즈New,14내셔널지오그래픽키즈New,,
15노스페이스New,15노스페이스New,,
16폴햄New,16폴햄New,,
17여성블라우스 13,17여성블라우스 13,,
18디올New,18디올New,,
19크록스 3,19크록스 3,,
20리스트블라우스New,20리스트블라우스New,,
21선풍기New,21선풍기New,,
22여성운동화 4,22여성운동화 4,,
23여성반팔 12,23여성반팔 12,,
24나이키여성운동화 8,24나이키여성운동화 8,,
25여성반팔니트 65,25여성반팔니트 65,,
26샤넬향수 24,26샤넬향수 24,,
27나이스클랍 3,27나이스클랍 3,,
28바람막이 35,28바람막이 35,,
29빈폴레이디스 20,29빈폴레이디스 20,,
"헤지스레이디스
봄 신상 위크
신상 25% 할인 + 18% 쿠폰","헤지스레이디스
봄 신상 위크
신상 25% 할인 + 18% 쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785730/P03987CB3EC7A99BFE000E2D1782F754A6B3AE4F3D4B56D38397059ADB9D074B8/file/dims/format/webp
"시리즈/헨리코튼외
오직 남성을 위한
시리즈/헨리코튼외
오직 남성을 위한","시리즈/헨리코튼외
오직 남성을 위한
시리즈/헨리코튼외
오직 남성을 위한",,https://www.lotteon.com/p/display/shop/seltDpShop/13331?callType=menu
"가정의 달 선물하기
단 한 번의 찬스
카톡 발송 & 배송 선물 PICK","가정의 달 선물하기
단 한 번의 찬스
카톡 발송 & 배송 선물 PICK",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785732/PFAE500096D15714F140B2B6DF356214F7EA5B8DA07E3A21DE135A0C16BB0F044/file/dims/format/webp
"시슬리
흔들림 없는 피부
베스트 셀러 특별세트","시슬리
흔들림 없는 피부
베스트 셀러 특별세트",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785716/P51F9F7C1011A9C763D259483A9CC8B15036CC8AC21C1B73003681759B45F2A22/file/dims/format/webp
"코데즈컴바인
시크하게 피어난 봄
최대 80% 할인+추가쿠폰","코데즈컴바인
시크하게 피어난 봄
최대 80% 할인+추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785717/PF7E662AF2086A9588543A765D0472F662379EF01EDE03644793907A9162BBFDE/file/dims/format/webp
