title,full_text,link,image
"쾌적한 여름 준비
쿨링 아이템 스페셜
서머 뷰티부터 패션, 리빙까지 2종 쿠폰팩 & 서머 특가
BUY NOW","쾌적한 여름 준비
쿨링 아이템 스페셜
서머 뷰티부터 패션, 리빙까지 2종 쿠폰팩 & 서머 특가
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/8910/689/10/260500000727689_20260527125615.jpg?RS=1920&SP=1
"쾌적한 여름 준비
쿨링 아이템 스페셜
서머 뷰티부터 패션, 리빙까지 2종 쿠폰팩 & 서머 특가","쾌적한 여름 준비
쿨링 아이템 스페셜
서머 뷰티부터 패션, 리빙까지 2종 쿠폰팩 & 서머 특가",javascript:void(0);,
"쾌적한 여름 준비
쿨링 아이템 스페셜","쾌적한 여름 준비
쿨링 아이템 스페셜",,
"서머 뷰티부터 패션, 리빙까지 2종 쿠폰팩 & 서머 특가","서머 뷰티부터 패션, 리빙까지 2종 쿠폰팩 & 서머 특가",,
BUY NOW,BUY NOW,javascript:void(0);,
HUNTER & more,"HUNTER & more
장마 시즌이 다가와요
레인 슈즈 데이
단 하루, 최대 65% 할인 + 쿠폰 혜택
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/539/00/260500000727539_20260527092634.jpg?RS=1920&SP=1
"장마 시즌이 다가와요
레인 슈즈 데이","장마 시즌이 다가와요
레인 슈즈 데이",,
"단 하루, 최대 65% 할인 + 쿠폰 혜택","단 하루, 최대 65% 할인 + 쿠폰 혜택",,
FELLOW,"FELLOW
카페 부럽지 않은
우리 집 힐링 공간
펠로우 BIG 세일, ~44% 할인 + 8% 쿠폰 + 기간한정 더블쿠폰
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/123/00/260500000728123_20260528085521.jpg?cVer=28091357&RS=1920&SP=1
"카페 부럽지 않은
우리 집 힐링 공간","카페 부럽지 않은
우리 집 힐링 공간",,
"펠로우 BIG 세일, ~44% 할인 + 8% 쿠폰 + 기간한정 더블쿠폰","펠로우 BIG 세일, ~44% 할인 + 8% 쿠폰 + 기간한정 더블쿠폰",,
JO MALONE & more,"JO MALONE & more
리프레시를
책임질 상쾌한 향
여름을 맞이하는 향기, 최대 60% 할인 + 쿠폰팩 + 사은품 혜택
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/892/00/260500000727892_20260527151601.jpg?RS=1920&SP=1
