title,full_text,link,image
30여성구두 68,30여성구두 68,,
1여성반팔블라우스,1여성반팔블라우스,,
2레고 2,2레고 2,,
3여성티셔츠,3여성티셔츠,,
4써스데이아일랜드블라우스 11,4써스데이아일랜드블라우스 11,,
5더아이잗 3,5더아이잗 3,,
6디올 48,6디올 48,,
7여성린넨자켓 10,7여성린넨자켓 10,,
8랑콤New,8랑콤New,,
9닌텐도스위치2 73,9닌텐도스위치2 73,,
10블라우스 2,10블라우스 2,,
11나이스클랍 10,11나이스클랍 10,,
12롯데월드 88,12롯데월드 88,,
13메이블루New,13메이블루New,,
14롯데리아 9,14롯데리아 9,,
15올리브데올리브 20,15올리브데올리브 20,,
16노스페이스 9,16노스페이스 9,,
17청바지 10,17청바지 10,,
18나이키 9,18나이키 9,,
19여성선글라스 7,19여성선글라스 7,,
20쌀10kg 24,20쌀10kg 24,,
21여름가디건 62,21여름가디건 62,,
22온앤온 49,22온앤온 49,,
23경주월드 77,23경주월드 77,,
24코치가방New,24코치가방New,,
25써스데이아일랜드 3,25써스데이아일랜드 3,,
26여성블라우스 1,26여성블라우스 1,,
27나이키슬리퍼 34,27나이키슬리퍼 34,,
28지고트New,28지고트New,,
29원피스 66,29원피스 66,,
"코오롱스포츠
역시즌 특가
안타티카, 프리미엄 다운의 정점","코오롱스포츠
역시즌 특가
안타티카, 프리미엄 다운의 정점",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785729/P14287061D70CC6406826E06105EFD34E25DF7BD78A63F5390331A18B23F9C96A/file/dims/format/webp
"헤지스레이디스
봄 신상 위크
신상 25% 할인 + 18% 쿠폰","헤지스레이디스
봄 신상 위크
신상 25% 할인 + 18% 쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785730/P03987CB3EC7A99BFE000E2D1782F754A6B3AE4F3D4B56D38397059ADB9D074B8/file/dims/format/webp
"시리즈/헨리코튼 외
오직 남성을 위한
여름 감성룩 아울렛 특가","시리즈/헨리코튼 외
오직 남성을 위한
여름 감성룩 아울렛 특가",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785731/P72AF14E4D255BCF39E952CF746E70ADEFB366BC49A474F5CBD8FABC848C0AFE7/file/dims/format/webp
"가정의 달 선물하기
단 한 번의 찬스
카톡 발송 & 배송 선물 PICK","가정의 달 선물하기
단 한 번의 찬스
카톡 발송 & 배송 선물 PICK",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785732/PFAE500096D15714F140B2B6DF356214F7EA5B8DA07E3A21DE135A0C16BB0F044/file/dims/format/webp
"시슬리
흔들림 없는 피부
베스트 셀러 특별세트","시슬리
흔들림 없는 피부
베스트 셀러 특별세트",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785716/P51F9F7C1011A9C763D259483A9CC8B15036CC8AC21C1B73003681759B45F2A22/file/dims/format/webp
"코데즈컴바인
가볍고 편한 봄 아웃핏
최대 80% 할인+추가쿠폰","코데즈컴바인
가볍고 편한 봄 아웃핏
최대 80% 할인+추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785717/P38FCC427F04C4783A2490E74A03D9EBF7D71B48A754189626D9F29172F2D0DD8/file/dims/format/webp
"키엘 오픈런
최대 37% 할인
에센스 대용량 단독 선출","키엘 오픈런
최대 37% 할인
에센스 대용량 단독 선출",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785724/PFB85659D1FD736FA8EBACD6D49BDF08A3E1FBA0F26690854DC6EB7B40C16379B/file/dims/format/webp
"UCLA와 여름 준비
오늘의 무드 프레피룩
최대 70% 할인 + 추가쿠폰","UCLA와 여름 준비
오늘의 무드 프레피룩
최대 70% 할인 + 추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/787227/P1595A79B66D77FFC9E06C76F017889A8A69B5F306EE7A419BA328AB4A53DE9F4/file/dims/format/webp
"티쏘 X 이동욱
신제품 런칭
NEW 젠틀맨 컬렉션","티쏘 X 이동욱
신제품 런칭
NEW 젠틀맨 컬렉션",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785718/P99C01694C8800A412F2333B5F63F90A2F4D3E5C5D1B4B8029A982999DFE9F6A0/file/dims/format/webp
"봄을 가득 담은
로퍼 추천
인기 브랜드 최대 40% 할인","봄을 가득 담은
로퍼 추천
인기 브랜드 최대 40% 할인",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785719/PA7FF6730DE431A0017151559A89B8D57AACF468A846EC5EB2FDCA38198A88286/file/dims/format/webp
"MCM
봄을 부르는 스타일
10% 쿠폰 + 카드혜택","MCM
봄을 부르는 스타일
10% 쿠폰 + 카드혜택",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785720/P736129D768F9757F74545048C12F6AFE19392B21DAEC61D6849CD64A3E7244A9/file/dims/format/webp
"어린이날 선물축제
어린이점수:매우만족
여름 신상부터 완구까지","어린이날 선물축제
어린이점수:매우만족
여름 신상부터 완구까지",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/785721/PFCDF9DB755774C109F7B1A7C93DEE554D4B62149D7781A8EB9156EE771822DC2/file/dims/format/webp
"제주 성이시돌
멸균우유&젤라또
금액대별 GIFT","제주 성이시돌
멸균우유&젤라또
금액대별 GIFT",,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
"챕터엑스
러닝&라이프웨어
일상까지 설계한 퍼포먼스 웨어","챕터엑스
러닝&라이프웨어
일상까지 설계한 퍼포먼스 웨어",,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="
