title,full_text,link,image
30나이키여성운동화New,30나이키여성운동화New,,
1꼼데가르송반팔,1꼼데가르송반팔,,
2여성원피스,2여성원피스,,
3뉴발란스New,3뉴발란스New,,
4폴로랄프로렌 1,4폴로랄프로렌 1,,
5스케쳐스,5스케쳐스,,
6스튜디오톰보이 3,6스튜디오톰보이 3,,
7오니츠카타이거멕시코66 27,7오니츠카타이거멕시코66 27,,
8폴로 4,8폴로 4,,
9캉골 2,9캉골 2,,
10닌텐도스위치2 10,10닌텐도스위치2 10,,
11쥬크,11쥬크,,
12보브 6,12보브 6,,
13샤틴New,13샤틴New,,
14올리브데올리브 14,14올리브데올리브 14,,
15바오바오 7,15바오바오 7,,
16타미힐피거여성 55,16타미힐피거여성 55,,
17뉴발란스740 37,17뉴발란스740 37,,
18아디다스,18아디다스,,
19나이키키즈 81,19나이키키즈 81,,
20여성린넨셔츠New,20여성린넨셔츠New,,
21버버리가방New,21버버리가방New,,
22선글라스 18,22선글라스 18,,
23르샵New,23르샵New,,
24나이키티셔츠New,24나이키티셔츠New,,
25여성자켓New,25여성자켓New,,
26블루독New,26블루독New,,
27골든듀New,27골든듀New,,
28케네스레이디 37,28케네스레이디 37,,
29나이키운동화 10,29나이키운동화 10,,
"커피 헤리티지
프리미엄 GIFT
최대 10% 할인 + 쇼핑백 증정","커피 헤리티지
프리미엄 GIFT
최대 10% 할인 + 쇼핑백 증정",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/790003/PCF1BC59D83E693C4B0C0AD56362FEFBE622F802C3F84F4BEFD35638200692E58/file/dims/format/webp
"광주요
감사 GIFT 대전
미각 색 시리즈 출시 최대 15%","광주요
감사 GIFT 대전
미각 색 시리즈 출시 최대 15%",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/790004/P93B73A7D4A9F816D818FBBF5498722A08740D85780D004DF3F0EA4B240D5A488/file/dims/format/webp
"박홍근홈패션
프리미엄 데일리침구
어버이날&어린이날 추천 최대 30%","박홍근홈패션
프리미엄 데일리침구
어버이날&어린이날 추천 최대 30%",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/790005/P9FDF2D67CE9A776A11EDF38E4303102B3F609380B6594CCF27A672495F38E391/file/dims/format/webp
"단 4일, 세노비스
오픈런 최대혜택
전상품 최대 40%+15%쿠폰","단 4일, 세노비스
오픈런 최대혜택
전상품 최대 40%+15%쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789996/P9A43DEDF321AE36E077B2D591441E0B1142044E9AB5CABE975B3154B244EC24C/file/dims/format/webp
"골든듀 X 김태리
베스트 컬렉션
20% 할인 + 7% 카드할인","골든듀 X 김태리
베스트 컬렉션
20% 할인 + 7% 카드할인",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789989/P0E35CF4A76773ACEB4232EBD0C0AE45CAA96669BDEFA58F0B17BBBAF4A0724B1/file/dims/format/webp
"티르리르
브랜드위크
최대 50% 할인 + 추가쿠폰","티르리르
브랜드위크
최대 50% 할인 + 추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789992/P623906DB7BE318742A77D3811D96EA97F80B3296EAFD586347055A5F8AF29780/file/dims/format/webp
"핏플랍 X 차정원
여름 슈즈 추천
10% 쿠폰혜택","핏플랍 X 차정원
여름 슈즈 추천
10% 쿠폰혜택",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789993/P3BDB955F643B826D74352D116793195B92C1E4FAC2EFDE0219ABC567407875DA/file/dims/format/webp
"A.P.C 아페쎄
NEW 신규입점
10% 쿠폰 + 5% 카드혜택","A.P.C 아페쎄
NEW 신규입점
10% 쿠폰 + 5% 카드혜택",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789979/PD876C65D584D4F1407851BAD14A5B15744DDC522EC28D842333846DA5029AEE0/file/dims/format/webp
"게스/리바이스 외
여름날의 블루 감성
최대 60% 할인 + 추가쿠폰","게스/리바이스 외
여름날의 블루 감성
최대 60% 할인 + 추가쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789991/P0CA045AFEC5468F8BF84765E574EB8AE89ECBE1605F536DB304CA7737773C5DB/file/dims/format/webp
"아모레퍼시픽
오픈런 최대혜택
감사의 달 선물포장+쇼핑백","아모레퍼시픽
오픈런 최대혜택
감사의 달 선물포장+쇼핑백",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789999/P46FB91C2C40CE9907CB72F96B99F061149EBD5F966D524A14EAAF071677E8527/file/dims/format/webp
"투미
브랜드위크
BEST 단독 15% 쿠폰","투미
브랜드위크
BEST 단독 15% 쿠폰",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789990/P24A65D9FD4FD847DE4715E7604783FAEE1B6D7CF42FB4A38726AEC29C360D971/file/dims/format/webp
"이솝으로 전하는
진심 어린 애정
가정의 달 선물 추천","이솝으로 전하는
진심 어린 애정
가정의 달 선물 추천",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/789995/PCCC80ADF7AAF15E4EE0085E233499B8C57E9300C0E78ADE9444D15E93966E5EC/file/dims/format/webp
"써스데이아일랜드
여름의 낭만
최대 50% 할인 + 카드혜택","써스데이아일랜드
여름의 낭만
최대 50% 할인 + 카드혜택",,https://contents.lotteon.com/display/dshoplnk/13331/2/M001313/790007/PD14FED8984DD9A10C111E45389BB630407FAF6C06125985B4CE0F9AAC2D78C19/file/dims/format/webp
