title,full_text,link,image
신세계V 서머 세일 오픈 알람 신청 혜택,신세계V 서머 세일 오픈 알람 신청 혜택,,
HOURGLASS,"HOURGLASS
여름맞이 혜택
아워글래스 데이
단 하루, 최대 27% 할인 + 본품 디럭스 사은품
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/062/00/260600000730062_20260602165324.jpg?RS=1920&SP=1
"여름맞이 혜택
아워글래스 데이","여름맞이 혜택
아워글래스 데이",,
"단 하루, 최대 27% 할인 + 본품 디럭스 사은품","단 하루, 최대 27% 할인 + 본품 디럭스 사은품",,
BUY NOW,BUY NOW,javascript:void(0);,
J.LINDEBERG,"J.LINDEBERG
제이린드버그
30주년 컬렉션
30주년을 기념하는 여름 컬렉션.일상과 필드를 넘나드는 스타일을 만나보세요
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/8910/540/10/260600000729540_20260602110357.jpg?RS=1920&SP=1
"제이린드버그
30주년 컬렉션","제이린드버그
30주년 컬렉션",,
30주년을 기념하는 여름 컬렉션.일상과 필드를 넘나드는 스타일을 만나보세요,30주년을 기념하는 여름 컬렉션.일상과 필드를 넘나드는 스타일을 만나보세요,,
MAGAZINE V,"MAGAZINE V
날씨를 선명하게
그려낸 여름 옷장
고민을 덜어줄 여름 스타일링 추천, 최대 65% 할인 + 스페셜 쿠폰팩
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/8910/026/10/260600000730026_20260602164709.jpg?RS=1920&SP=1
"날씨를 선명하게
그려낸 여름 옷장","날씨를 선명하게
그려낸 여름 옷장",,
"고민을 덜어줄 여름 스타일링 추천, 최대 65% 할인 + 스페셜 쿠폰팩","고민을 덜어줄 여름 스타일링 추천, 최대 65% 할인 + 스페셜 쿠폰팩",,
DIPTYQUE,"DIPTYQUE
새 계절을 위한
리미티드 컬렉션
딥티크 서머 컬렉션 론칭, 제품별 사은품 증정
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/471/00/260600000730471_20260605141543.jpg?cVer=05021543&RS=1920&SP=1
"새 계절을 위한
리미티드 컬렉션","새 계절을 위한
리미티드 컬렉션",,
"딥티크 서머 컬렉션 론칭, 제품별 사은품 증정","딥티크 서머 컬렉션 론칭, 제품별 사은품 증정",,
VOICE OF VOICES,"VOICE OF VOICES
한여름의 심플한
미니멀리즘
미니멀한 선으로 완성한 한여름의 모던 스타일
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/582/00/260500000723582_20260602200301.jpg?cVer=02080301&RS=1920&SP=1
"한여름의 심플한
미니멀리즘","한여름의 심플한
미니멀리즘",,
미니멀한 선으로 완성한 한여름의 모던 스타일,미니멀한 선으로 완성한 한여름의 모던 스타일,,
MALBON GOLF,"MALBON GOLF
내리쬐는 햇빛도
걱정 없는 필드룩
말본골프 서머 아울렛, 최대 30% 할인
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/033/00/260600000730033_20260602164825.jpg?RS=1920&SP=1
"내리쬐는 햇빛도
걱정 없는 필드룩","내리쬐는 햇빛도
걱정 없는 필드룩",,
"말본골프 서머 아울렛, 최대 30% 할인","말본골프 서머 아울렛, 최대 30% 할인",,
GUCCI & more,"GUCCI & more
여름 햇살처럼
빛날 존재감
실패 없는 럭셔리 아이템, 최대 60% 할인 + 쿠폰
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/315/00/260600000729315_20260601151730.jpg?RS=1920&SP=1
"여름 햇살처럼
빛날 존재감","여름 햇살처럼
빛날 존재감",,
"실패 없는 럭셔리 아이템, 최대 60% 할인 + 쿠폰","실패 없는 럭셔리 아이템, 최대 60% 할인 + 쿠폰",,
ARTEMIDE & more,"ARTEMIDE & more
아이코닉한 감각이
깃드는 공간
아르떼미데/플로스/비앤비이탈리아, 최대 10% 할인 + 쿠폰
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/226/00/260600000729226_20260601124841.jpg?RS=1920&SP=1
"아이코닉한 감각이
깃드는 공간","아이코닉한 감각이
깃드는 공간",,
"아르떼미데/플로스/비앤비이탈리아, 최대 10% 할인 + 쿠폰","아르떼미데/플로스/비앤비이탈리아, 최대 10% 할인 + 쿠폰",,
EENK & more,"EENK & more
시스루의 계절
가볍게 더하는 레이어
활용도 높은 여름 필수템, 최대 55% 할인 + 최대 20% 쿠폰
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/298/00/260600000730298_20260604123747.jpg?cVer=04123747&RS=1920&SP=1
"시스루의 계절
가볍게 더하는 레이어","시스루의 계절
가볍게 더하는 레이어",,
"활용도 높은 여름 필수템, 최대 55% 할인 + 최대 20% 쿠폰","활용도 높은 여름 필수템, 최대 55% 할인 + 최대 20% 쿠폰",,
dyson,"dyson
일상을 바꾸는
혁신적 기술과 디자인
헤어스타일링부터 공기케어까지 최대 33% 할인
BUY NOW",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/463/00/260600000729463_20260602093631.jpg?RS=1920&SP=1
"일상을 바꾸는
혁신적 기술과 디자인","일상을 바꾸는
혁신적 기술과 디자인",,
헤어스타일링부터 공기케어까지 최대 33% 할인,헤어스타일링부터 공기케어까지 최대 33% 할인,,
MAISON MARGIELA FRAGRANCES,"MAISON MARGIELA FRAGRANCES
메종 마르지엘라
센소리움
컬렉션 론칭
NEW 센소리움 오 드 퍼퓸 6종 론칭, ~20% 쿠폰 + 사은품 혜택
BUY NOW
MAISON MARGIELA FRAGRANCES
CH.1 블레이즈 오브 스틸니스 퍼퓸 75ML
560,000
MAISON MARGIELA FRAGRANCES
CH.2 사일런트 퓨리 퍼퓸 ",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/714/00/260600000729714_20260602133920.jpg?RS=750&SP=1
"메종 마르지엘라
센소리움
컬렉션 론칭","메종 마르지엘라
센소리움
컬렉션 론칭",,
"NEW 센소리움 오 드 퍼퓸 6종 론칭, ~20% 쿠폰 + 사은품 혜택","NEW 센소리움 오 드 퍼퓸 6종 론칭, ~20% 쿠폰 + 사은품 혜택",,
"MAISON MARGIELA FRAGRANCES
CH.1 블레이즈 오브 스틸니스 퍼퓸 75ML
560,000","MAISON MARGIELA FRAGRANCES
CH.1 블레이즈 오브 스틸니스 퍼퓸 75ML
560,000
MAISON MARGIELA FRAGRANCES
CH.2 사일런트 퓨리 퍼퓸 75ML
560,000
MAISON MARGIELA FRAGRANCES
CH.3 앵귀시 앤 오 퍼퓸 75ML
560,000",,https://image.shinsegaev.com/upload/C00001/s3/goods/org/777/260601164378777.jpg?RS=290&SP=1
ILAIL,"ILAIL
일라일
시즌오프
세일로 여름맞이
~50% + 20% 추가 할인, 26SS 신상 10% 혜택까지
BUY NOW
ILAIL
케이블 슬리브리스 니트 탑
52% 114,240
ILAIL
배색 라인 슬리브리스 니트
60% 103,200
ILAIL
배색 라인 슬리브리스 니트
60% 103,200",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/126/00/260500000727126_20260602110334.jpg?cVer=02110334&RS=750&SP=1
"일라일
시즌오프
세일로 여름맞이","일라일
시즌오프
세일로 여름맞이",,
